val1,val2,val3,last_matrix,num_moves_Q_learning_needs,first_move_by_Q_learning,Q_table_val
-1,-4,-1,1,8,0,9840.55888139888
-3,0,-5,2,8,0,9840.55888139888
3,2,1,3,4,1,9920.119920019999
5,1,-1,1,8,1,9840.55888139888
9,-10,1,1,14,1,9696.104141147325
7,19,5,1,12,1,9761.31560988418
-6,0,4,2,10,0,9800.897604194965
-3,26,-7,4,12,2,9624.718917496199
2,6,2,1,6,0,9880.299600299879
0,-9,4,1,10,1,9800.897604194965
1,4,-5,1,8,1,9840.55888139888
-5,-12,5,1,10,0,9800.897604194965
-3,8,-3,4,6,2,9880.299600299879
-4,8,-2,4,6,2,9880.299600299879
-2,-4,4,1,6,0,9880.299600299879
-3,-5,1,4,6,3,9880.299600299879
4,-15,-4,4,8,2,9840.55888139888
3,3,1,3,4,3,9920.119920019999
-2,3,-4,4,6,0,9880.299600299879
-3,0,-1,4,4,0,9920.119920019999
3,-14,-7,1,10,1,9800.897604194965
6,-9,-4,4,10,1,9800.897604077683
