val1,val2,val3,val4,best_move,dist_to_id
10.0,-33.0,-63.0,208.0,0.0,7.0
19.0,-3.0,-120.0,19.0,1.0,7.0
1.0,-3.0,-6.0,19.0,2.0,7.0
-17.0,-6.0,105.0,37.0,3.0,7.0
1.0,-9.0,-6.0,55.0,0.0,7.0
19.0,-6.0,-117.0,37.0,1.0,7.0
-8.0,-27.0,51.0,172.0,2.0,7.0
-17.0,-3.0,108.0,19.0,3.0,7.0
-8.0,21.0,51.0,-134.0,0.0,7.0
1.0,-3.0,-6.0,19.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
-71.0,-192.0,453.0,1225.0,2.0,7.0
-8.0,21.0,51.0,-134.0,3.0,7.0
-71.0,234.0,453.0,-1493.0,0.0,7.0
-134.0,21.0,855.0,-134.0,1.0,7.0
-8.0,21.0,51.0,-134.0,2.0,7.0
127.0,45.0,-810.0,-287.0,3.0,7.0
-8.0,69.0,51.0,-440.0,0.0,7.0
-143.0,45.0,912.0,-287.0,1.0,7.0
55.0,186.0,-351.0,-1187.0,2.0,7.0
118.0,21.0,-753.0,-134.0,3.0,7.0
55.0,-144.0,-351.0,919.0,0.0,7.0
-8.0,21.0,51.0,-134.0,1.0,7.0
-8.0,-27.0,51.0,172.0,2.0,7.0
-17.0,-3.0,108.0,19.0,3.0,7.0
-8.0,21.0,51.0,-134.0,0.0,7.0
1.0,-3.0,-6.0,19.0,1.0,7.0
-8.0,-27.0,51.0,172.0,2.0,7.0
-17.0,-3.0,108.0,19.0,3.0,7.0
-8.0,21.0,51.0,-134.0,0.0,7.0
1.0,-3.0,-6.0,19.0,1.0,7.0
-17.0,-3.0,108.0,19.0,2.0,7.0
127.0,48.0,-807.0,-305.0,3.0,7.0
-17.0,99.0,108.0,-629.0,0.0,7.0
-161.0,48.0,1023.0,-305.0,1.0,7.0
-26.0,-81.0,165.0,514.0,2.0,7.0
-35.0,-3.0,222.0,19.0,3.0,7.0
-26.0,75.0,165.0,-476.0,0.0,7.0
-17.0,-3.0,108.0,19.0,1.0,7.0
-17.0,-105.0,108.0,667.0,2.0,7.0
-179.0,-54.0,1137.0,343.0,3.0,7.0
-17.0,-3.0,108.0,19.0,0.0,7.0
145.0,-54.0,-921.0,343.0,1.0,7.0
73.0,192.0,-465.0,-1223.0,2.0,7.0
-8.0,-27.0,51.0,172.0,3.0,7.0
73.0,-246.0,-465.0,1567.0,0.0,7.0
154.0,-27.0,-981.0,172.0,1.0,7.0
-8.0,-27.0,51.0,172.0,2.0,7.0
-17.0,-3.0,108.0,19.0,3.0,7.0
-8.0,21.0,51.0,-134.0,0.0,7.0
1.0,-3.0,-6.0,19.0,1.0,7.0
-89.0,-294.0,567.0,1873.0,2.0,7.0
-170.0,-27.0,1083.0,172.0,3.0,7.0
-89.0,240.0,567.0,-1529.0,0.0,7.0
-8.0,-27.0,51.0,172.0,1.0,7.0
-8.0,-75.0,51.0,478.0,2.0,7.0
-161.0,-51.0,1026.0,325.0,3.0,7.0
-8.0,-27.0,51.0,172.0,0.0,7.0
145.0,-51.0,-924.0,325.0,1.0,7.0
1.0,3.0,-12.0,-35.0,2.0,7.0
1.0,0.0,-9.0,1.0,3.0,7.0
1.0,-3.0,-12.0,37.0,0.0,7.0
1.0,0.0,-15.0,1.0,1.0,7.0
1.0,0.0,-9.0,1.0,2.0,7.0
-8.0,-3.0,75.0,28.0,3.0,7.0
1.0,-6.0,-9.0,55.0,0.0,7.0
10.0,-3.0,-93.0,28.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
1.0,6.0,-9.0,-53.0,2.0,7.0
10.0,3.0,-87.0,-26.0,3.0,7.0
1.0,0.0,-9.0,1.0,0.0,7.0
-8.0,3.0,69.0,-26.0,1.0,7.0
10.0,27.0,-63.0,-170.0,2.0,7.0
1.0,-3.0,-6.0,19.0,3.0,7.0
10.0,-33.0,-63.0,208.0,0.0,7.0
19.0,-3.0,-120.0,19.0,1.0,7.0
1.0,-3.0,-6.0,19.0,2.0,7.0
-17.0,-6.0,105.0,37.0,3.0,7.0
1.0,-9.0,-6.0,55.0,0.0,7.0
19.0,-6.0,-117.0,37.0,1.0,7.0
-8.0,-27.0,51.0,172.0,2.0,7.0
-17.0,-3.0,108.0,19.0,3.0,7.0
-8.0,21.0,51.0,-134.0,0.0,7.0
1.0,-3.0,-6.0,19.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
1.0,0.0,-3.0,1.0,2.0,7.0
-8.0,-3.0,27.0,10.0,3.0,7.0
1.0,-6.0,-3.0,19.0,0.0,7.0
10.0,-3.0,-33.0,10.0,1.0,7.0
1.0,3.0,0.0,1.0,2.0,7.0
1.0,0.0,3.0,1.0,3.0,7.0
1.0,-3.0,0.0,1.0,0.0,7.0
1.0,0.0,-3.0,1.0,1.0,7.0
1.0,6.0,-3.0,-17.0,2.0,7.0
10.0,3.0,-27.0,-8.0,3.0,7.0
1.0,0.0,-3.0,1.0,0.0,7.0
-8.0,3.0,21.0,-8.0,1.0,7.0
