val1,val2,val3,last_matrix,first_move_by_Q_learning,Q_table_val
5,9,1,1,3,9840.55888139888
2,17,-10,1,3,8548.315503544256
-1,0,-3,2,0,9920.119920019999
7,5,3,1,1,9799.162334267088
-14,5,-2,4,0,8714.023072525719
-1,17,-3,4,3,9541.126752044891
-11,-27,7,4,0,7599.750358578678
-2,20,6,4,2,9682.3888363128
-5,46,-9,4,0,9477.638372057037
-6,-28,10,3,0,9682.3888363128
2,-11,4,4,2,9761.315603883624
-8,-8,2,2,0,9800.897604194965
-1,13,-1,4,3,9721.812522407829
1,18,7,2,3,9761.31560988418
2,6,2,3,0,9880.299600299879
0,-15,2,3,2,9672.600426756646
4,-16,-4,4,2,9840.55888139888
-2,0,-4,4,0,9880.299600299879
-5,-21,1,2,1,9703.27503521855
-5,-9,7,3,3,9761.31560370574
0,13,-8,4,2,9761.291023838912
1,-2,1,2,0,9880.299600299879
4,-1,0,2,1,9880.299600299879
10,56,8,4,3,0.0
-9,33,-5,4,2,9721.81273998002
-6,14,-2,3,1,9800.897519009994
-3,27,-7,4,1,9761.31560988418
8,3,0,2,1,9800.897604194965
-1,8,5,4,0,9800.897604194965
5,51,11,2,1,0.0
-11,42,-7,2,0,0.0
-11,15,-1,4,0,9491.84593453898
2,22,14,2,3,8440.734657365194
-5,14,-1,2,2,9800.897601819368
-2,9,-2,2,1,9840.55888139888
3,27,5,3,0,9721.803017276407
0,-10,-2,3,0,9761.31427323753
1,10,-1,3,0,9761.301703912372
-4,-17,10,3,3,9721.81273998002
-1,2,-5,3,2,9880.299600299879
12,-13,0,4,0,9648.043175309154
2,-3,-4,1,1,9880.299600299879
7,38,13,2,1,3321.2282051490483
7,18,-3,1,3,9606.094179849099
-6,-29,6,4,0,9761.315604519114
4,-21,-8,3,1,9761.31560988418
-1,4,5,3,0,9840.55888139888
-2,-4,0,1,3,9880.299600299879
2,-10,4,4,1,9761.31560988418
-5,6,-1,3,0,9840.55888139888
7,-1,-3,2,1,9800.897604194965
6,25,8,3,1,7830.7515059852985
-2,-10,2,1,1,9800.897604194965
12,17,0,2,2,0.0
9,-11,-1,4,2,9761.178090864609
2,-8,8,1,1,9640.689600421469
0,-2,2,3,1,9920.119920019999
-4,21,0,4,1,9671.318600787152
1,-1,-1,2,2,9960.02
2,10,0,1,0,9761.31560988418
-2,20,6,4,2,9682.3888363128
-8,-24,4,2,0,9761.31559253245
-5,11,-3,3,0,9840.55888139888
-5,-16,1,1,0,9761.31560988418
-9,9,-5,2,0,-9.9
8,-39,-6,4,1,3893.5936892073473
2,-17,-12,4,2,9646.410735477186
-2,1,8,2,3,9761.31560988418
14,-32,2,1,0,9486.448297688994
-4,8,-8,2,0,9761.217995384366
4,-4,-2,4,1,9880.299600299879
-2,-9,-2,1,1,9761.31560988418
-15,62,-7,4,0,0.0
0,7,0,2,1,9761.31560988418
6,-17,-2,4,2,9800.24847668827
-6,-10,10,3,1,5427.95684977533
-1,6,-11,1,2,0.0
-7,10,-1,1,0,9800.897604194965
-2,-6,0,3,1,9840.55888139888
-11,-45,3,2,1,0.0
-7,-39,11,2,0,9643.043351624949
7,8,-3,4,1,9683.550639096698
3,0,-1,4,1,9920.119920019999
0,-4,6,1,1,9840.55888139888
3,-38,-11,2,2,2510.99665038446
4,-15,4,1,2,8712.71823572325
-10,-6,2,2,0,0.0
-1,-14,1,1,1,9721.711257375622
6,-23,0,2,2,9718.68618073424
-3,10,-5,3,0,9840.55888139888
4,-16,-12,3,1,9682.3888363128
5,-14,-9,3,2,9721.81273998002
-4,30,-8,4,2,9761.310927254646
0,8,-2,1,1,9800.897604194828
-8,8,-2,2,0,9800.897604194965
-6,-10,0,3,0,9800.897604194965
3,-10,1,4,0,9761.315339934907
5,6,1,4,0,9840.55888139888
