val1,val2,val3,last_matrix,num_moves_Q_learning_needs,min_a_b_sqrt_c
0,17,-2,3,15,0.0
0,-12,-6,4,9,0.0
1,22,9,2,13,1.0
-4,9,-2,3,7,2.0
-2,-23,10,1,15,2.0
2,20,4,3,11,2.0
6,-9,-2,4,7,2.0
-5,-12,3,3,7,3.0
2,-1,2,1,5,1.0
2,8,6,3,7,2.0
4,63,10,3,33,4.0
0,2,8,3,9,0.0
-3,-16,-3,3,17,3.0
-1,14,-3,4,11,1.0
4,20,4,3,9,4.0
0,-1,-6,1,7,0.0
11,9,1,1,11,1.0
4,4,-2,1,7,2.0
-3,39,-11,4,15,3.0
12,19,4,4,23,4.0
6,-1,0,3,7,0.0
-5,-14,-1,2,11,1.0
-8,-28,8,2,15,5.291502622129181
4,-32,-10,3,17,4.0
-4,14,10,3,19,3.7416573867739413
1,8,3,4,7,1.0
1,-5,-3,4,5,1.0
6,22,0,4,15,0.0
-6,-13,-4,3,21,3.605551275463989
-7,-52,15,3,23,7.0
-6,-6,4,3,9,2.449489742783178
-4,-5,8,2,11,2.23606797749979
-6,8,-6,3,11,2.8284271247461903
1,15,-1,2,15,1.0
-3,5,3,4,9,2.23606797749979
-1,-11,9,1,11,1.0
-7,-11,3,2,9,3.0
4,28,10,3,13,4.0
2,15,-2,3,15,2.0
3,-5,3,1,9,2.23606797749979
3,12,7,1,9,3.0
-2,-10,14,3,21,2.0
-2,4,4,3,7,2.0
-2,-1,4,2,5,1.0
-7,-17,5,4,11,4.123105625617661
-11,31,3,2,21,3.0
3,5,-5,3,9,2.23606797749979
-4,-12,-4,2,17,3.4641016151377544
1,-24,9,1,15,1.0
-9,-15,5,2,13,3.872983346207417
2,-2,0,3,3,0.0
-3,-33,9,1,13,3.0
8,47,6,3,13,6.0
7,-12,-1,1,9,1.0
11,15,3,1,13,3.0
-1,-5,-1,2,7,1.0
-3,-18,1,3,13,1.0
5,21,-1,4,15,1.0
5,18,3,1,9,3.0
-7,-16,-1,4,13,1.0
6,-15,-8,1,13,3.872983346207417
1,-21,1,1,17,1.0
-1,6,-1,1,7,1.0
-8,-15,4,3,11,3.872983346207417
-9,47,-3,2,27,3.0
-3,18,-1,1,15,1.0
4,-23,-6,1,9,4.0
-1,-9,7,3,9,1.0
5,14,-5,1,19,3.7416573867739413
7,10,1,1,9,1.0
3,6,-5,2,11,2.449489742783178
0,2,-2,4,3,0.0
3,-7,1,4,9,1.0
-7,19,-3,4,9,3.0
3,-8,5,1,11,2.8284271247461903
-4,-12,2,2,7,2.0
-1,-9,5,1,7,1.0
5,-6,-1,3,7,1.0
2,-1,-8,1,9,1.0
-9,25,-1,1,13,1.0
-5,4,-7,2,11,2.0
0,-4,-2,3,5,0.0
-11,4,1,4,13,1.0
-8,0,-4,3,11,0.0
0,2,0,1,5,0.0
13,-44,-5,1,21,5.0
0,5,0,1,9,0.0
-1,16,-3,4,13,1.0
-2,-3,4,2,5,1.7320508075688772
3,8,-3,1,11,2.8284271247461903
-1,-11,-1,2,13,1.0
1,-5,7,4,9,1.0
-3,-1,1,3,3,1.0
2,32,10,3,17,2.0
8,-15,4,4,17,3.872983346207417
7,-37,-3,3,19,3.0
-4,12,2,1,11,2.0
12,-15,-2,3,13,2.0
-5,2,-3,2,7,1.4142135623730951
7,22,7,2,13,4.69041575982343
5,-20,-3,3,9,3.0
-5,10,3,2,13,3.0
1,-1,1,4,3,1.0
0,-21,0,4,19,0.0
0,6,-6,3,7,0.0
-1,11,5,4,11,1.0
